Player Name,Position,Junior Team
Matthew Schaefer,D,Erie Otters [OHL]
Michael Misa,C,Saginaw Spirit [OHL]
Anton Frondell,C,Djurgardens IF [Swe-1]
Caleb Desnoyers,C,Moncton Wildcats [QMJHL]
Brady Martin,C,Soo Greyhounds [OHL]
Porter Martone,R,Brampton Steelheads [OHL]
James Hagens,C,Boston College [H-East]
Jake O'Brien,C,Brantford Bulldogs [OHL]
Radim Mrtka,D,Seattle Thunderbirds [WHL]
Roger McQueen,C,Brandon Wheat Kings [WHL]
Benjamin Kindel,C,Calgary Hitmen [WHL]
Jack Nesbitt,C,Windsor Spitfires [OHL]
Carter Bear,L,Everett Silvertips [WHL]
Jackson Smith,D,Tri-City Americans [WHL]
Braeden Cootes,C,Seattle Thunderbirds [WHL]
Victor Eklund,R,Djurgardens IF [Swe-1]
Kashawn Aitcheson,D,Barrie Colts [OHL]
Cole Reschny,C,Victoria Royals [WHL]
Justin Carbonneau,R,Blainville-Boisbriand Armada [QMJHL]
Pyotr Andreyanov,G,CSKA Red Army Jr. [Rus-MHL]
Cameron Reid,D,Kitchener Rangers [OHL]
Bill Zonnon,R,Rouyn-Noranda Huskies [QMJHL]
Logan Hensler,D,U. of Wisconsin [Big-10]
Will Horcoff,F,U. of Michigan [Big-10]
Vaclav Nestrasil,R,Muskegon Lumberjacks [USHL]
Ryker Lee,R,Madison Capitols [USHL]
Lynden Lakovic,L,Moose Jaw Warriors [WHL]
Sascha Boumedienne,D,Boston University [H-East]
Mason West,C,Edina [Minn. H.S.]
Joshua Ravensbergen,G,Prince George Cougars [WHL]
Henry Brzustewicz,D,London Knights [OHL]
Cullen Potter,C,Arizona State University [NCHC]
